"","w_I","w_O","b_IO","b_OI","b_O","t"
"Manebol S.R.L. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Manuel Alejandro Petit Correa ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Manuel Ángel Fernández Meléndez ",7.26,23.18,18.88,7.12,0,25.82
"Manuel Antonio Barroso ",2.49,-0.3,1.24,2.92,0,3.07
"Manuel Eduardo Pérez Urdaneta ",-0.29,-0.3,0.4,-0.44,0,-0.26
"Manuel Enrique Galindo Ballesteros ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Manuel Gregorio Bernal Martínez ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Manuel Ricardo Cristopher Figuera ",-0.69,1.59,-0.44,1.24,0,0.02
"Manuel Rosales ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Manuel Sabino Suárez Hidalgo ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Manuel Salvador Quevedo Fernández ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Mapfre ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Maracaibo Municipality Major´s Office ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Marcela Carolina Paz ",-0.69,-0.3,-0.44,0.4,0,-0.54
"Marcelo Federico Gutiérrez Acosta y Lara ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Marcelo Odebrecht ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Marco Antonio Medina Salas ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Marcos Rafael Cabello Bello  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"María Alejandra Andrade Colmenares ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"María Alejandra Díaz Marín ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"María Alexandra Perdomo Rosales de Gorrín ",3.48,-0.69,7.96,-0.44,0,2.51
"María Carolina Ameliach ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"María Carolina Perdomo Rosales ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"María Corina Machado ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"María Cristina Santoro Martiradonna ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"María de los Ángeles González ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"María Elisa Domínguez Velasco ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"María Eugenia Baptista Zacarías ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"María Eugenia Rojas ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"María Eugenia Vignati ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"María Fernanda Rodríguez ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"María Gabriela Levy de Murcia  ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"María Iris Varela ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"María Isabel Vignati ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"María Julieta Ratto ",-0.3,-0.69,0.4,-0.44,0,-0.54
"María Lila Bravo de Rincón ",1.7,-0.3,-0.44,-0.44,0,0.85
"María Martiradonna De Santoro ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"María Palacios ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Mariana Staudinger  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Mariela Mercedes Matheus Baptista ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Marine Administration Panama, Inc ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Marine Investment Group Inc. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Marine Investor Corp. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Mario Enrique Bonilla Vallera ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Mario Enrique González ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Maritime Administration Group Inc. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Maritime Crews Inc ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Maritime Tanker Administration, S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Maritime Tanker Services, S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Markwell Investments S.A., Inc. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Marleny Josefina Contreras Hernández ",-0.69,-0.3,-0.44,2.08,0,0.02
"Maroa Commercial Corp. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Marré, Bernal & Asociados ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Masefield A.G.; Trafigura A.G. ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Mata & Pitti ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Matalinda Investment, Inc. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Materiales Siderúrgicos, S.A.  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Matthias Krull ",-0.3,6.47,-0.44,-0.44,0,4.18
"Mauad & Mauad ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Mauricio Adrián Castillo ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Maximiliano Poveda ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Máximo Bartimolo ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Maxitech S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Maya Green Power ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Maydonna Ventures Of Florida ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Mayela Antonina Tarascio Pérez ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Mazal 17 SL ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Medina Chavarria & Asociados ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Megana International LTD ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Memoser Compañía De Seguros Sa ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Merol Ganem Development Ltd ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"MFAA Holdings Limited ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Miami Islands Property LLC ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Michael Kenwood Group ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Michel Martelly ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Michelle Angelo Di Lorenzo Barrios ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Michols Orsini Quintero ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Micro Financial Development Fund  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Microtol S.R.L.  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Miguel Alcides Vivas Landino ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Miguel Alexander López Mujica ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Miguel Álvaro Romero ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Miguel Ángel Armas Rodríguez ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Miguel Ángel Castillo Lara ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Miguel Ángel Gómez Núñez ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Miguel Ángel Loor Centeno  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Milagros Coromoto Torres ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Milas Trading Corp ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Million Rise Industries, LLC ",-0.69,-0.3,-0.44,1.24,0,-0.26
"Mills Advisors, S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Minister of Federal Planning, Public Investment and Services   ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Minister of People´s Power for Foreign Affairs ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Minister of People´s Power for Land Transporting and Public Works ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ministerial Council of OPEC Fund for International Development  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ministers Council ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ministry for Federal Planning, Public Investment and Services  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ministry of Economy, Finances and Public Banking  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ministry of Energy and Mining  ",-0.3,0.1,13,-0.44,0,4.18
"Ministry of Finances ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ministry of Foreign Affairs of the Republic of Peru ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ministry of Oil and Energy  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ministry of Oil and Mining ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ministry of People´s Power for  Communication and Information  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ministry of People´s Power for  Education  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ministry of People´s Power for  Food  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ministry of People´s Power for  Housing and Habitat ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ministry of People´s Power for  Oil and Energy ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ministry of People´s power for  Public Works  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ministry of People´s Power for  Science, Tecnology and Medium Industries  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ministry of People´s Power for  Universitary Education, Science and Technology ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ministry of People´s Power for  Electric Energy  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ministry of People´s Power for Communes and Social Movements   ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ministry of People´s Power for Communication and Information   ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ministry of People´s Power for Defense  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ministry of People´s Power for Ecological Mining Development  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ministry of People´s Power for Economy   ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ministry of People´s Power for Economy and Finances ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ministry of People´s Power for Education ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ministry of People´s Power for Health ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ministry of People´s Power for Industries and National Production  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ministry of People´s Power for Internal Affairs, Justice and Peace  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ministry of People´s Power for Light Industries and Commerce ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ministry of People´s Power for Oil and Mining   ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ministry of People´s Power for Penitentiary Service  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ministry of People´s Power for Planning ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ministry of People´s Power for Presidency Office and Follow up of Government Administration ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ministry of People´s Power for Presidency Office and Follow up of Government Administration  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ministry of People´s Power for Social Proccess of Work   ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ministry of People´s Power for Soil and Agriculture  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ministry of People´s Power for Tourism ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ministry of People´s Power for Transport ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ministry of People´s Power for Urban Agriculture   ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ministry of People´s Power for Water and Air Transportation  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ministry of People´s Power for Youth  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ministry of People´s Power of Economy and Finances  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ministry of People´s Power of Planning and Finances  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ministry of Science, Technology and Medium Industries  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ministry of State for the New Peace Frontier   ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ministry of State for Transformation of Caracas  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Minstry of Foreign Affairs of the Republic of Peru  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Mireya Carolina Hidalgo Sarría ",-0.29,-0.3,-0.44,-0.44,0,-0.54
"Miriam Altagracia Serret Sugrañez ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Miriam Serret Aponte Acosta ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Misión Milagro Foundation ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Misión Ribas Foundation ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Mj Box Tool , S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Mohammad Hans Dastmaltchi ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Moisés Abraham Millán Escobar ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Moisés Maiónica ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Monolith Investment S.A. ",-0.3,-0.69,-0.44,0.4,0,-0.54
"Monómeros Colombo Venezolanos S.A. ",0.1,-0.3,-0.44,-0.44,0,-0.26
"Monómeros International LTD ",-0.29,-0.3,-0.44,-0.44,0,-0.54
"Monterrey Management Limited  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Morela Ramona Hernández de Morón ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Moreno y Fabrega  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Morgan y Morgan ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Mossack Fonseca & Co. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Muldan Associates S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Multitex International Trading ,S.A ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Multitex International Trading, S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Musical Foundation Simón Bolívar ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"N133JA ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Nakasawa Mining & Energy Ltd. ",-0.29,-0.3,-0.44,-0.44,0,-0.54
"Naman Wakil ",5.28,-0.3,1.24,-0.44,0,3.9
"Nanko Capital Sl. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Nasib Nehme ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Natacha Castillo González ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"National  Service of Administration and Disposal of Insured or Seized, Confiscated and Forfeited Assets  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"National Anti-Drug Office  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"National Anti - drugs Fund  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"National Assembly ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"National Audience ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"National Bank of Housing  and Habitat  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"National Bolivarian Armed Force  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"National Bolivarian Guard  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"National Bolivarian Police  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"National Bolivarian Police Corps  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"National Budget Office   ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"National Center of Foreign Trade  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"National Commercial Court  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"National Commission against  Money Laundering ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"National Commission against Smuggling ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"National Commission of Telecommunications  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"National Court of Justice ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"National Development Fund  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"National Direction of Intelligence and Prevention Services of Venezuela  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"National Electoral Council  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"National Electric Corporation  ",1.7,16.65,1.24,27.29,0,13.06
"National Entity of Gas  ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"National Executive Power ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"National Experimental University of Security  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"National Housing Commission  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"National Institute for Development of Small and Medium Enterprises  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"National Institute of Land Transit and Transportation   ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"National Institute of Lands  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"National Institute of Rural Development   ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"National Institute of Training and Socialist Education  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"National Integrated Service of Tax and Tribute Administration  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"National Limited Company of Phones of Venezuela  ",0.1,9.12,0.4,4.6,0,3.07
"National Mission Fund  ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"National Steel Complex Planta Casima ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"National Superintendence for Defense of Social - Economic Rights  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"National Treasury Office  ",4.88,-0.3,-0.44,8.8,0,6.12
"Negro Primero Fund ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Nelson Cabral Veras ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Nelson José Merentes Díaz ",-0.3,-0.69,1.24,-0.44,0,-0.26
"Nelson Pablo Martínez ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Nelson Reinaldo Lepaje Salazar ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Nelson Serret Sugrañez ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Nervis Gerardo Villalobos Cárdenas ",58.26,31.14,96.18,18.04,0,67.99
"Néstor Carlos Kirchner ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Néstor Luis Reverol Torres ",42.33,3.47,2.08,32.33,0,41.35
"Nestor Molina  ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Néstor Neptali Blanco Hurtado ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Nevsky Group, Inc. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"New Magic Group Inc ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"New Neighborhood Great Mission; Tricolor Neighborhood ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Nice Day S.R.L. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Nicolás Ernesto Maduro Guerra ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Nicolás Maduro Moros ",16.44,16.65,9.64,33.17,0,28.04
"Noor Plantation Investments LLC  ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Nordan Hertz Mesa ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Norka Josefina Luque de Martínez ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Nulife Hoteles S.R.L. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Oakmont Mercantile, Inc. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Obelisk Global S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ocean Bussiness Ltd  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Oceanus Investors Corp. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"October Ventures Ltd  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Odebrecht ",16.44,-0.3,-0.44,6.28,0,13.33
"Office of Foreign Assets Control  ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Omar Jesús Farías Luces ",11.26,-0.3,12.16,-0.44,0,11.67
"Omar Prieto ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"One Allied Biltmore Medical Corporation ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"One Allied College Park Corporation ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Onry José Romero ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Orbey Inc. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Orlando José Yori Rivas ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Oro Azul, S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Oscar Albin Dávila Rondón ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Óscar Farez  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Oscar Rafael Colmenares Villalobos ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Osvaldo Basteri ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Oswald International Limited ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Owens & Watson ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"P&S International Inc ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Pablo M. Kenig ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Pablo Noanda González ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Pablo Pérez ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Paladium Real Estate Group LLC ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Palmill Investments, SA ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Panazeate SL ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Paninvest Global Enterprises Inc. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Paoro Armored Transport Aruba ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Pasale, LLC ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Patricia Ferrando ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Paul Rosado ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"PDV Caribe S.A.  ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"PDVIC ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Pdvsa Agrícola, S.A. ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Pdvsa MARKETING INTERNATIONAL S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Pdvsa Panama, S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Pdvsa. Mixed Company Pdvsa – GAZPROM  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Pedro Alexander Rojas Bustamante ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Pedro Binaggia ",10.46,-0.3,1.24,-0.44,0,7.51
"Pedro Emilio Silva Conde ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Pedro Fritz Morejon Carrillo ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Pedro Luis Martin Olivares ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Pedro Luis Martín Oliveros ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Pedro Miguel Carreño Escobar ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Pedro Rolando Maldonado ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Pedro Trebbau ",-0.69,-0.3,-0.44,1.24,0,-0.26
"Pedula Holding, S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"People´s Ombudsman ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Perdigao Agroindustrial Group Inc. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Petroandina ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Petrocedeño S.A ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Petrocedeño S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Petrochemical Sales LTD ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Petróleos de Venezuela S.A.  ",524.32,775.36,120.54,3007.25,0,1512.33
"Petróleos de Venezuela S.A.  Gas ",-0.3,-0.69,-0.44,2.92,0,0.29
"Petrolera Sinovensa S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Petromonagas S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Petropiar S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Petroquímica de Venezuela, S.A.  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Petrosuministros, S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Petrozamora S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Phoenix World Trade Off Shore,S.A. 3741068 ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Piedad Cordoba ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Plascot Limited ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Pomerol Investments Group S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Postar Intertrade Limited ",0.5,-0.3,-0.44,1.24,0,0.57
"Potrico Corp. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Precocidos de El Salvador  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Presidency of the Republic  ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Presidential Commission to Celebrate Bicentennial Birthday of People´s General  Ezequiel Zamora ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Presidential Office ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Pride International, Inc ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Private Bank of Andorra ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Proalco S.A ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Procuraduria Foundation  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Productora y Distribuidora Venezolana de Alimentos S.A.  ",-0.29,-0.3,-0.44,0.4,0,-0.26
"Profit Corporation C.A. ",0.9,-0.3,-0.44,1.24,0,0.85
"Profit International Supply Corp. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Prosecutor ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Prospermundo ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Prymera Asesores S.A.  ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Public Defense ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Public Ministry ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Punta Perla Condominiums, S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Qfiina Machinery Engineering Corporation ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Quatro Marcos Ltda S.A. ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Quest Investment Group Inc ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Quiana Trading Limited  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Rafael Alejandro Lacava Evangelista ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Rafael Alfredo Sarría Díaz ",-0.69,3.47,-0.44,6.28,0,1.96
"Rafael Antonio Franco Quintero  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Rafael Antonio Villasana Fernández ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Rafael Darío Ramírez Carreño ",24.26,-0.69,30.65,-0.44,0,13.06
"Rafael Eduardo Isea Romero ",-0.3,0.9,1.24,-0.44,0,0.85
"Rafael Enrique Abreu Anselmi ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Rafael Enrique Bastardo Mendoza ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Rafael Enrique Belisario Peraza ",-0.69,-0.3,-0.44,-0.44,0,-0.82
