"","w_I","w_O","b_IO","b_OI","b_O","t"
"Comec Industry, S.A ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Comercializadora Nates S.A.S. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Comisión Nacional de Telecomunicaciones  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Commerce and Industry Chamber Venezuela - Germany  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Compagnie Bancaire Helvétique ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Compañía de Distribución de Productos e Insumos Venezuela Productiva C.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Compañía de Inversiones Agrícolas Triestre S.L. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Compañía de Mecanizado Agrícola y Transporte Pedro Camejo S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Compañía General de Minería de Venezuela C.A.  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Compañía Socialista Ganadera Agroecológica Bravos de Apure, S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Comtech Solutions and Investments, INC ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Conciencia Televisión Foundation  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Concrete del Caribe GUF ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Conphener ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Constello Inc.  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Constello No. 1 Corporation ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Constituent Assembly ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Construcciones y Asfalto San Antonio C.A.  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Constructions del Caribe GUF ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Constructora Gómez Núñez Bolivia S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Constructora International Del Sur S.A.  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Constructora M and R  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Constructora Urbano Fermín C.A.  ",-0.29,-0.3,-0.44,-0.44,0,-0.54
"Consultores Técnicos Empresariales  ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Continental Booking & Travel S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Continental Medica, C.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Coordinadora y Asesora de Proyectos  ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Coosud Telecomunicaciones S.A. ",-0.3,-0.69,0.4,-0.44,0,-0.54
"Corpomedios LLC ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Corporación de Abastecimiento y Servicios Agrícolas, S.A.  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Corporación de Desarrollo de la Cuenca Del Río Tuy Francisco de Miranda, S.A.  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Corporación de Industrias Intermedias de Venezuela S.A.  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
