"unlist.Closeness.","unlist.CN_Betweenness.","unlist.CN_CBrokerage.","unlist.CN_Eigen.","unlist.CN_Info.","unlist.cutpoints_strong.","unlist.cutpoints_weak.","unlist.InDegree.","unlist.OutDegree.","unlist.TotalDegree."
0,0,0,0,0.000663917997473488,FALSE,FALSE,0.15,0,0.06
0,0,0,0,0.000663917997473475,FALSE,FALSE,0.15,0,0.06
14.6666666666667,0,1,0,0.000663917997473465,FALSE,FALSE,0,0.5,0.2
2.5,0,1,0,0.000663917997473458,FALSE,FALSE,0,1,0.4
0,0,0,0,0.000663917997473454,FALSE,FALSE,0.3,0,0.12
0,0,0,0,0.000663917997473471,FALSE,FALSE,0.15,0,0.06
0,0,0,0,0.000663917997473454,FALSE,FALSE,0.6,0,0.24
0,0,0,0,0.000663917997473467,FALSE,FALSE,0.15,0,0.06
0,0,0,0,0.00066391799747347,FALSE,FALSE,0.15,0,0.06
1,77,1,0,0.000663917997473444,FALSE,TRUE,3,0.5,1.4
4.5,178.3,1,0,0.000663917997473445,FALSE,TRUE,1.5,2.5,1.6
0,0,0,0,0.000663917997473467,FALSE,FALSE,0.3,0,0.12
0,0,0,0,0.000663917997473477,FALSE,FALSE,0.15,0,0.06
0,0,0,0,0.000663917997473467,FALSE,FALSE,0.3,0,0.12
0,0,0,0,0.000663917997473466,FALSE,FALSE,0.15,0,0.06
0,0,0,0,0.000663917997473456,FALSE,FALSE,0.45,0,0.18
14.6666666666667,121,1,0,0.000663917997473449,FALSE,FALSE,0.3,0.5,0.32
0,0,0,0,0.00066391799747347,FALSE,FALSE,0.3,0,0.12
0,0,0,0,0.000663917997473491,FALSE,TRUE,3,0,1.2
1,0,1,0,3.68237250219467e-05,FALSE,FALSE,0,0.5,0.2
0,0,0,0,0.000663917997473472,FALSE,FALSE,0.15,0,0.06
1,11.5,0,0,0.000663917997473452,FALSE,FALSE,0.3,0.5,0.32
0,0,0,0,0.000663917997473467,FALSE,FALSE,0.15,0,0.06
0,0,0,0,0.000663917997473515,FALSE,FALSE,0.15,0,0.06
2,0,0,0,0.000663917997473453,FALSE,FALSE,0,1,0.4
0,0,0,0,0.00066391799747345,FALSE,FALSE,0.45,0,0.18
0,0,0,0,0.000236896112997798,FALSE,FALSE,0.15,0,0.06
9.16666666666667,0,0,0,0.00066391799747346,FALSE,FALSE,0,1,0.4
1,8,1,0,0.000663917997473451,FALSE,TRUE,0.45,0.5,0.38
3,7,1,0,0.000663917997473454,FALSE,TRUE,0.15,1.5,0.66
3.33333333333333,0,1,0,0.00066391799747347,FALSE,FALSE,0,0.5,0.2
21.9964285714286,0,0,6.29725116609563e-22,0.000663917997473485,FALSE,FALSE,0,0.5,0.2
0,0,0,0,0.000663917997473476,FALSE,FALSE,0.15,0,0.06
0,0,0,0,2.66657558495497e-05,FALSE,TRUE,0.9,0,0.36
14.6666666666667,0,1,0,0.000663917997473457,FALSE,FALSE,0.15,0.5,0.26
21.8833333333333,0,0,0,0.000663917997473454,FALSE,FALSE,0,1.5,0.6
2,0,0,0,0.000663917997473453,FALSE,FALSE,0,1,0.4
5,347.25,1,0,0.000663917997473446,FALSE,TRUE,1.2,1.5,1.08
0,0,0,0,0.000663917997473492,FALSE,FALSE,0.15,0,0.06
14.6666666666667,0,1,0,0.000663917997473465,FALSE,FALSE,0,0.5,0.2
1,0,0,0,0.000663917997473465,FALSE,FALSE,0,0.5,0.2
0,0,0,0,0.000663917997473477,FALSE,FALSE,0.15,0,0.06
0,0,0,0,0.000663917997473467,FALSE,FALSE,0.15,0,0.06
14.6666666666667,0,1,0,0.000663917997473465,FALSE,FALSE,0,0.5,0.2
0,0,0,0,0.000663917997473472,FALSE,FALSE,0.15,0,0.06
0,0,0,0,0.000663917997473472,FALSE,FALSE,0.15,0,0.06
0,0,0,0,0.000663917997473472,FALSE,FALSE,0.15,0,0.06
0,0,0,0,0.00066391799747348,FALSE,FALSE,0.15,0,0.06
0,0,0,0,0.000663917997473452,FALSE,FALSE,0.45,0,0.18
0,0,0,0,0.000663917997473467,FALSE,FALSE,0.15,0,0.06
0,0,0,0,0.000663917997473444,FALSE,FALSE,1.2,0,0.48
0,0,0,0,0.00066391799747349,FALSE,FALSE,0.15,0,0.06
0,0,0,0,0.00066391799747349,FALSE,FALSE,0.15,0,0.06
0,0,0,0,0.000663917997473474,FALSE,FALSE,0.15,0,0.06
0,0,0,0,0.000297397729508595,FALSE,FALSE,0.15,0,0.06
29.8285714285714,0,1,6.54282642048376e-22,0.000663917997473468,FALSE,FALSE,0,0.5,0.2
0,0,0,0,0.000663917997473481,FALSE,FALSE,0.15,0,0.06
0,0,0,0,0.000663917997473469,FALSE,FALSE,0.15,0,0.06
22.8380952380952,0,0,0,0.000663917997473481,FALSE,FALSE,0,0.5,0.2
12,0,0,0,0.000220414019246931,FALSE,TRUE,0,6,2.4
0,0,0,0,0.000220387013423297,FALSE,FALSE,0.15,0,0.06
2.5,0,1,1.44280081223035e-43,0.000663917997473461,FALSE,FALSE,0.15,1,0.46
0,0,0,0,0.000663917997473469,FALSE,FALSE,0.15,0,0.06
0,0,0,0,0.000663917997473469,FALSE,FALSE,0.15,0,0.06
0,0,0,0,0.000663917997473467,FALSE,FALSE,0.15,0,0.06
2,0,1,0,0.000663917997473456,FALSE,FALSE,0,1,0.4
0,0,0,0,0.000663917997473451,FALSE,FALSE,0.45,0,0.18
0,0,0,0,0.000663917997473469,FALSE,FALSE,0.15,0,0.06
3,0,0,0,0.000663917997473449,FALSE,FALSE,0,1.5,0.6
30.6619047619048,0,0,1.28400775865794e-21,0.00066391799747346,FALSE,FALSE,0,1,0.4
0,0,0,0,0.000663917997473468,FALSE,FALSE,0.15,0,0.06
14,0,0,0,0.000236917490021969,FALSE,TRUE,0,7,2.8
14.6666666666667,0,1,0,0.000663917997473465,FALSE,FALSE,0,0.5,0.2
0,0,0,0,0.000663917997473473,FALSE,FALSE,0.15,0,0.06
0,0,0,0,0.000663917997473465,FALSE,FALSE,0.45,0,0.18
0,0,0,0,3.65106927839043e-05,FALSE,FALSE,0.15,0,0.06
0,0,0,0,0.000663917997473469,FALSE,FALSE,0.15,0,0.06
0,0,0,0,0.000663917997473467,FALSE,FALSE,0.15,0,0.06
0,0,0,0,0.000663917997473479,FALSE,FALSE,0.15,0,0.06
0,0,0,0,0.000663917997473472,FALSE,FALSE,0.3,0,0.12
3,0,0,0,0.000663917997473449,FALSE,FALSE,0,1.5,0.6
4.5,2.5,1,0,0.000663917997473449,FALSE,FALSE,0.15,2,0.86
26.3833333333333,260.6,0,0,0.000663917997473443,FALSE,TRUE,0.6,4.5,2.04
99.7880952380952,380.441666666667,0,0.10417025444134,0.000663917997473444,FALSE,TRUE,0.3,5,2.12
7,128.871428571429,0,0,0.000663917997473445,FALSE,TRUE,0.45,7,2.98
1,0,0,0,0.000663917997473473,FALSE,FALSE,0,0.5,0.2
9,0,0,0,0.000663917997473455,FALSE,FALSE,0.15,4.5,1.86
1,0,1,0,0.000663917997473467,FALSE,FALSE,0,0.5,0.2
4,0,0,0,0.000663917997473447,FALSE,FALSE,0,2,0.8
27.6666666666667,45,1,0,0.000663917997473452,FALSE,TRUE,0.15,7,2.86
31.6666666666667,1347.09047619048,0,0,0.000663917997473441,FALSE,TRUE,1.65,21,9.06
15.8833333333333,0,0,0,0.000663917997473456,FALSE,FALSE,0.15,3,1.26
4.5,209.5,0,0,0.00066391799747345,FALSE,FALSE,0.3,2,0.92
12.5,0,0,0,0.000663917997473499,FALSE,TRUE,0,6,2.4
